NumberFunctions,Language,Compiler,Arguments,Environment,TimeSeconds,MemoryKB,Error
5000,C++,clang++,-O2,,33.45,250924,
5000,C++,clang++,,,3.8,160576,
5000,C++,g++,-O2,,19.26,336832,
5000,C++,g++,,,6.3,268896,
5000,C,clang,-O2,,31.86,229160,
5000,C,clang,,,3.06,139532,
5000,C,gcc,-O2,,17.45,318648,
5000,C,gcc,,,4.77,214564,
5000,CSharp,dotnet,build -c release --no-restore,,5.13,121316,
5000,CSharp,dotnet,build --no-restore,,4.52,121152,
5000,D,dmd,-O,,2.05,134428,
5000,D,dmd,,,0.87,134296,
5000,D,ldc2,-O,,28.15,332332,
5000,D,ldc2,,,2.18,278216,
5000,D,gdc,-O,,10.67,370220,
5000,D,gdc,,,4.7,339964,
5000,FSharp,dotnet,build -c release --no-restore,,22.2,417572,
5000,FSharp,dotnet,build --no-restore,,19.16,395144,
5000,Go,go,build,,3.61,191780,
5000,Haskell,stack,ghc -- -O2,,27.6,1078552,
5000,Haskell,stack,ghc --,,24.07,1043880,
5000,Java,javac,-J-Xmx4096M -J-Xms64M,,3.44,224796,
5000,Kotlin,kotlinc,,JAVA_OPTS:-Xmx4096M -Xms64M,52.09,1587872,
5000,OCaml,ocamlopt,-O2,,8.6,366172,
5000,OCaml,ocamlopt,,,8.74,390480,
5000,Rust,rustc,,,9.7,446652,
5000,Rust,rustc,-C opt-level=2,,60.94,444304,
5000,Scala,scalac,-opt:l:inline -opt-inline-from:**,JAVA_OPTS:-Xmx4096M -Xms64M,19.67,446544,
5000,Scala,scalac,,JAVA_OPTS:-Xmx4096M -Xms64M,19.82,438916,
5000,Swift,swiftc,-O,,,,-1 [Process cancelled after 10 minute timeout]
5000,Swift,swiftc,,,,,
5000,Nim,nim,compile,,25.98,799400,
5000,Nim,nim,compile -d:release --opt:speed,,73.14,623540,
10000,C++,clang++,-O2,,69.43,413908,
10000,C++,clang++,,,8.04,245448,
10000,C++,g++,-O2,,41.57,457352,
10000,C++,g++,,,13.64,356164,
10000,C,clang,-O2,,71.57,389828,
10000,C,clang,,,8.07,222516,
10000,C,gcc,-O2,,41.59,357968,
10000,C,gcc,,,11.61,339060,
10000,CSharp,dotnet,build -c release --no-restore,,12.13,121460,
10000,CSharp,dotnet,build --no-restore,,9.32,121204,
10000,D,dmd,-O,,3.11,234580,
10000,D,dmd,,,1.7,234328,
10000,D,ldc2,-O,,61.52,580384,
10000,D,ldc2,,,4.87,475304,
10000,D,gdc,-O,,32.26,565744,
10000,D,gdc,,,10.21,507628,
10000,FSharp,dotnet,build -c release --no-restore,,42.75,686772,
10000,FSharp,dotnet,build --no-restore,,37.82,604508,
10000,Go,go,build,,5.26,379688,
10000,Haskell,stack,ghc -- -O2,,62.03,1808892,
10000,Haskell,stack,ghc --,,59.86,2092152,
10000,Java,javac,-J-Xmx4096M -J-Xms64M,,5.32,367724,
10000,Kotlin,kotlinc,,JAVA_OPTS:-Xmx4096M -Xms64M,94.6,2495368,
10000,OCaml,ocamlopt,-O2,,26.34,822100,
10000,OCaml,ocamlopt,,,25.77,881664,
10000,Rust,rustc,,,16.76,730900,
10000,Rust,rustc,-C opt-level=2,,140.11,717484,
