NumberFunctions,Language,Compiler,Arguments,Environment,TimeSeconds,MemoryKB,Error
5000,C++,clang++,-O2,,27.5,249732,
5000,C++,clang++,,,3.43,162128,
5000,C++,g++,-O2,,16.36,334564,
5000,C++,g++,,,5.91,267244,
5000,C,clang,-O2,,26.73,228060,
5000,C,clang,,,2.74,140792,
5000,C,gcc,-O2,,15.69,318584,
5000,C,gcc,,,4.66,212124,
5000,CSharp,dotnet,build -c release --no-restore,,6.74,121448,
5000,CSharp,dotnet,build --no-restore,,5.23,121680,
5000,D,dmd,-O,,1.37,136108,
5000,D,dmd,,,0.84,134024,
5000,D,ldc2,-O,,24.03,332908,
5000,D,ldc2,,,1.97,279264,
5000,D,gdc,-O,,9.61,369100,
5000,D,gdc,,,4.43,339000,
5000,FSharp,dotnet,build -c release --no-restore,,21.45,416360,
5000,FSharp,dotnet,build --no-restore,,18.6,391704,
5000,Go,go,build,,3.52,203364,
5000,Haskell,stack,ghc -- -O2,,23.16,952560,
5000,Haskell,stack,ghc --,,22.99,1054860,
5000,Java,javac,-J-Xmx4096M -J-Xms64M,,4.51,254312,
5000,Kotlin,kotlinc,,JAVA_OPTS:-Xmx4096M -Xms64M,70.83,1986664,
5000,OCaml,ocamlopt,-O2,,8.19,368228,
5000,OCaml,ocamlopt,,,8.11,389540,
5000,Rust,rustc,,,7.18,443748,
5000,Rust,rustc,-C opt-level=2,,67.24,437944,
5000,Scala,scalac,-opt:l:inline -opt-inline-from:**,JAVA_OPTS:-Xmx4096M -Xms64M,24.68,399836,
5000,Scala,scalac,,JAVA_OPTS:-Xmx4096M -Xms64M,26.6,391216,
5000,Swift,swiftc,-O,,35.83,4051852,
5000,Swift,swiftc,,,23.48,310236,
5000,Nim,nim,compile,,22.06,792268,
5000,Nim,nim,compile -d:release --opt:speed,,62.86,562928,
10000,C++,clang++,-O2,,52.56,405244,
10000,C++,clang++,,,6.89,247540,
10000,C++,g++,-O2,,32.48,458292,
10000,C++,g++,,,10.67,356876,
10000,C,clang,-O2,,51.82,380964,
10000,C,clang,,,5.63,224204,
10000,C,gcc,-O2,,31.16,357264,
10000,C,gcc,,,9.06,339516,
10000,CSharp,dotnet,build -c release --no-restore,,11.2,121788,
10000,CSharp,dotnet,build --no-restore,,8.72,121572,
10000,D,dmd,-O,,2.6,233828,
10000,D,dmd,,,1.47,233616,
10000,D,ldc2,-O,,47.23,581848,
