Compiler, Number Functions, Time (seconds), Memory (KB)
C (gcc) [7.3.0-27ubuntu1], 5000, 2.9, 210000
C (gcc -O2) [7.3.0-27ubuntu1], 5000, 8.87, 302608
C (clang) [6.0.0-1ubuntu2], 5000, 1.18, 115076
C (clang -O2) [6.0.0-1ubuntu2], 5000, 10.91, 152392
C (gcc) [7.3.0-27ubuntu1], 10000, 5.98, 332220
C (gcc -O2) [7.3.0-27ubuntu1], 10000, 17.62, 352928
C (clang) [6.0.0-1ubuntu2], 10000, 2.34, 175584
C (clang -O2) [6.0.0-1ubuntu2], 10000, 21.81, 241700
C (gcc) [7.3.0-27ubuntu1], 15000, 9.05, 556276
C (gcc -O2) [7.3.0-27ubuntu1], 15000, 26.67, 515212
C (clang) [6.0.0-1ubuntu2], 15000, 3.49, 234368
C (clang -O2) [6.0.0-1ubuntu2], 15000, 31.66, 336400
C (gcc) [7.3.0-27ubuntu1], 20000, 11.92, 528068
C (gcc -O2) [7.3.0-27ubuntu1], 20000, 35.69, 732184
C (clang) [6.0.0-1ubuntu2], 20000, 4.66, 297580
C (clang -O2) [6.0.0-1ubuntu2], 20000, 42.36, 420372
C (gcc) [7.3.0-27ubuntu1], 25000, 14.92, 826048
C (gcc -O2) [7.3.0-27ubuntu1], 25000, 44.91, 835448
C (clang) [6.0.0-1ubuntu2], 25000, 5.88, 358056
C (clang -O2) [6.0.0-1ubuntu2], 25000, 53.12, 536292
C++ (g++) [7.3.0-27ubuntu1], 5000, 3.39, 259744
C++ (g++ -O2) [7.3.0-27ubuntu1], 5000, 9.3, 332772
C++ (clang++) [6.0.0-1ubuntu2], 5000, 1.48, 131056
C++ (clang++ -O2) [6.0.0-1ubuntu2], 5000, 11, 168764
C++ (g++) [7.3.0-27ubuntu1], 10000, 6.71, 353804
C++ (g++ -O2) [7.3.0-27ubuntu1], 10000, 18.76, 454928
C++ (clang++) [6.0.0-1ubuntu2], 10000, 2.82, 193752
C++ (clang++ -O2) [6.0.0-1ubuntu2], 10000, 21.74, 260152
C++ (g++) [7.3.0-27ubuntu1], 15000, 10.04, 517516
C++ (g++ -O2) [7.3.0-27ubuntu1], 15000, 28.17, 563720
C++ (clang++) [6.0.0-1ubuntu2], 15000, 4.13, 255416
C++ (clang++ -O2) [6.0.0-1ubuntu2], 15000, 32.34, 357816
C++ (g++) [7.3.0-27ubuntu1], 20000, 13.39, 715300
C++ (g++ -O2) [7.3.0-27ubuntu1], 20000, 37.88, 793220
C++ (clang++) [6.0.0-1ubuntu2], 20000, 5.48, 320352
C++ (clang++ -O2) [6.0.0-1ubuntu2], 20000, 43.13, 442808
C++ (g++) [7.3.0-27ubuntu1], 25000, 16.92, 900508
C++ (g++ -O2) [7.3.0-27ubuntu1], 25000, 47.17, 972296
C++ (clang++) [6.0.0-1ubuntu2], 25000, 6.73, 383828
C++ (clang++ -O2) [6.0.0-1ubuntu2], 25000, 53.58, 562072
D (dmd) [64], 5000, 0.57, 121484
D (dmd -O) [64], 5000, 0.87, 121136
D (ldc2) [1.8.0], 5000, 1.25, 232420
D (ldc2 -O) [1.8.0], 5000, 11.35, 260708
D (dmd) [64], 10000, 0.97, 210992
D (dmd -O) [64], 10000, 1.56, 209152
D (ldc2) [1.8.0], 10000, 2.45, 397248
D (ldc2 -O) [1.8.0], 10000, 22.15, 450712
D (dmd) [64], 15000, 1.37, 300228
D (dmd -O) [64], 15000, 2.26, 297840
D (ldc2) [1.8.0], 15000, 3.62, 558304
D (ldc2 -O) [1.8.0], 15000, 33.99, 635308
